RA,Dec,z,direction_cw_ccw
139.43875,1.05545,0.02724,1
218.67545,3.29713,0.02726,-1
151.49304,2.84886,0.02733,1
221.05731,2.13457,0.02735,-1
144.65568,2.65357,0.02736,1
28.52587,0.9506,0.02748,1
218.69056,3.34034,0.02758,-1
224.59018,2.54684,0.02776,1
144.2183,3.13765,0.02777,-1
169.56514,3.86701,0.02779,1
29.75967,-0.09266,0.0278,-1
226.6545,42.04393,0.0279,1
175.30463,-0.2012,0.02792,-1
140.57334,4.70833,0.02798,1
221.03609,1.19527,0.02799,-1
159.14715,3.24031,0.02812,-1
348.4473,-0.13593,0.02813,-1
159.11608,3.26048,0.02822,1
184.61368,2.40844,0.02825,-1
210.33602,0.11848,0.02828,1
240.32648,43.93981,0.02834,-1
176.21031,-1.60131,0.02839,-1
191.08981,4.42761,0.02845,-1
171.7441,4.22979,0.02845,1
157.1747,3.67777,0.02853,1
21.23006,0.21159,0.02853,-1
351.62961,0.83709,0.02853,1
158.36938,2.74866,0.0286,-1
130.5956,2.49734,0.02861,-1
221.95488,1.05161,0.02862,1
157.84531,0.25901,0.02864,1
173.66314,0.12479,0.02866,1
221.55562,0.86604,0.02878,1
167.50335,4.36429,0.02888,-1
173.60388,3.25044,0.02888,-1
349.14718,1.01283,0.02894,1
167.65606,4.19137,0.02895,1
198.01601,1.64553,0.02902,1
150.94037,3.67633,0.02905,-1
174.2785,2.8459,0.02905,-1
167.80896,3.37056,0.02919,1
174.29909,2.80584,0.0292,1
158.33768,2.61613,0.02925,-1
174.28973,2.839,0.02937,-1
35.16132,0.90254,0.02938,-1
333.16073,-0.69114,0.02939,1
174.25169,2.82487,0.02944,-1
216.98072,-1.00806,0.02946,-1
211.75031,-0.85061,0.02954,-1
157.2654,3.91807,0.02957,-1
167.51704,4.14727,0.02957,-1
209.5294,-0.39248,0.02958,-1
158.78185,4.78757,0.02961,-1
185.43288,0.4089,0.02962,1
148.03446,4.2523,0.02965,1
148.58498,-0.31134,0.02969,-1
350.91143,1.2264,0.02969,1
169.44541,2.5483,0.0297,1
218.48817,-0.30116,0.02971,1
218.18968,1.87747,0.02978,-1
349.85813,1.14532,0.02979,-1
208.68606,0.11514,0.02984,-1
169.07209,2.88885,0.02984,1
349.62571,1.14393,0.02985,-1
219.16094,0.11741,0.02986,-1
184.86195,-1.69978,0.02992,1
217.90217,-1.5924,0.02998,-1
218.89647,0.88883,0.03002,-1
168.00177,4.1303,0.03005,1
246.19997,42.66425,0.0301,-1
8.92133,-0.20382,0.03018,1
169.59821,2.37314,0.03022,-1
246.7156,44.51199,0.03022,1
8.78562,-0.13368,0.03022,-1
169.72177,2.65788,0.03025,-1
218.11952,1.9105,0.03026,-1
167.38702,2.70728,0.03026,1
244.02505,41.81653,0.03026,1
249.52512,43.82613,0.03028,-1
145.14597,0.07026,0.03029,-1
217.44988,-0.20751,0.03029,-1
144.95767,-0.56152,0.03029,1
203.08497,1.5669,0.03033,1
170.70655,1.21479,0.03037,-1
249.02843,44.60279,0.03039,1
331.05189,0.36708,0.03044,1
349.63039,-0.11184,0.03046,-1
145.92827,0.53118,0.03048,1
209.2424,-1.10162,0.03057,-1
166.54252,4.29728,0.03058,1
218.58925,1.60737,0.03066,-1
249.34432,44.34711,0.03069,-1
146.29987,-0.11999,0.0307,1
222.97237,3.36342,0.03077,-1
249.18878,44.1761,0.03095,1
148.42721,2.81282,0.03102,-1
166.08533,4.57403,0.03104,-1
249.16309,44.55476,0.03106,-1
147.2777,4.03311,0.03107,1
215.90261,-1.06022,0.03108,-1
166.60808,1.33477,0.03117,-1
224.88436,-0.01326,0.03123,1
246.61394,44.11283,0.0313,-1
246.63162,44.12208,0.03134,-1
249.22528,44.32214,0.03136,1
152.08585,0.2506,0.03141,-1
188.26716,0.31955,0.03141,1
248.55569,42.0856,0.03141,1
149.3068,2.11805,0.03155,-1
247.21697,42.812,0.03158,-1
247.67229,44.51348,0.03161,-1
203.52535,1.75447,0.03161,1
